word,category
neighbors,Actor
brothers,Actor
inconsistent,Action
gunsmithing,Action
monetary,Action
hegemony,Effect
trauma,Action
iron,Evidence
fifth,Action
fundamental,Action
stimulus,Effect
loose,Effect
creates,Effect
useful,Victim
cbs,Actor
alter,Effect
indians,Actor
lungs,Action
jump,Evidence
mccarthy,Actor
cuts,Action
suggested,Effect
continues,Evidence
contracts,Effect
struggling,Effect
martini,Actor
flipside,Action
divine,Effect
dystopian,Effect
sovereignty,Action
heads,Action
adam,Actor
schiff,Actor
patrol,Evidence
standards,Effect
replies,Evidence
olde,Effect
timey,Effect
witch,Effect
temporary,Evidence
snowflakes,Actor
assumed,Evidence
fired,Action
revolution,Action
wolfe,Victim
burisch,Actor
crain,Actor
bio,Effect
estimates,Evidence
girl's,Victim
kidnapping,Action
assange,Victim
difficult,Effect
motion,Action
recognition,Action
rapists,Effect
experienced,Effect
employed,Effect
beast,Actor
performance,Effect
libertarians,Actor
elderly,Victim
sesta,Actor
fosta,Actor
cast,Effect
eric,Actor
drive,Action
hope,Effect
brazil,Effect
leftist,Effect
tale,Evidence
manifestations,Evidence
value,Effect
prove,Action
assumptions,Effect
thoughtful,Effect
confiscate,Evidence
yellow,Actor
withholding,Action
operatives,Actor
proud,Actor
vague,Effect
ac,Action
elon,Actor
poc,Actor
letter,Evidence
coincidence,Evidence
georg,Actor
describes,Effect
appropriate,Effect
wef,Actor
destroying,Action
rogan,Actor
circles,Evidence
urgent,Action
husband,Victim
techniques,Action
apple,Actor
iphone,Actor
funeral,Evidence
admitted,Action
religions,Effect
moye,Actor
regulators,Actor
spectrum,Effect
inspiration,Effect
normal,Evidence
intellectual,Effect
teenager,Actor
holes,Evidence
legacy,Actor
selective,Action
surprise,Effect
thompson,Actor
ndaa,Evidence
transcript,Evidence
hyperborea,Actor
voyage,Effect
greenland,Effect
manby,Actor
habitation,Effect
foreigners,Victim
sets,Action
reviewing,Action
leadership,Effect
position,Effect
vaxxed,Effect
verified,Evidence
documentation,Evidence
paints,Effect
startling,Effect
employ,Action
watched,Evidence
ballistic,Action
girl,Victim
rollout,Action
corona,Evidence
initiatives,Action
rot,Effect
primarily,Evidence
strikes,Action
emerged,Effect
italian,Evidence
traffic,Effect
onto,Effect
supremacy,Action
testament,Action
outrageous,Evidence
'pick,Effect
poison',Effect
poorly,Effect
reviews,Evidence
liar,Action
towns,Victim
evasive,Action
informs,Evidence
responsible,Evidence
gate,Action
disclosing,Effect
subscribing,Action
collusion,Action
slipped,Action
firing,Action
reputable,Evidence
excellent,Evidence
reflect,Action
bombshell,Evidence
vastly,Effect
dimensions,Action
andy,Actor
settlement,Evidence
feature,Effect
beijing,Actor
luo,Actor
week,Evidence
twitter's,Actor
association,Evidence
reptilian,Actor
draconians,Actor
satanic,Actor
zionists,Actor
referenced,Evidence
entry,Effect
proves,Evidence
dinosaur,Actor
gov,Victim
desantis,Actor
pakistani,Actor
arabs,Evidence
burroughs,Actor
fiction,Evidence
they'll,Actor
pipelines,Evidence
residents,Victim
unique,Action
aw,Actor
description,Evidence
printer,Action
rewrite,Action
invented,Evidence
orientation,Action
supposed,Effect
psychopaths,Actor
remote,Action
talked,Action
hypnosis,Action
wheel,Evidence
sequel,Evidence
butler's,Actor
bidding,Effect
explain,Effect
earlier,Effect
hire,Effect
blinken,Actor
vests,Actor
speculation,Evidence
rally,Evidence
dependency,Effect
idiots,Victim
payments,Effect
acknowledged,Action
giants,Actor
zoom,Action
fascists,Actor
terrorism,Effect
demand,Effect
installed,Action
experiencing,Effect
gerald,Actor
boyle,Actor
est,Evidence
oligarchy,Action
strain,Effect
clinton's,Actor
haiti,Action
perhaps,Evidence
hitler,Actor
jew,Victim
olive,Effect
occult,Evidence
failures,Action
skynet,Evidence
stole,Action
estimated,Effect
random,Evidence
audits,Evidence
difference,Effect
reporters,Evidence
kushner,Actor
anchor,Actor
navigate,Effect
blow,Effect
progress,Effect
achieving,Action
informal,Action
sessions,Actor
caption,Actor
disrupt,Action
everybody,Victim
willingness,Action
comedians,Actor
mini,Evidence
auto,Effect
barr,Actor
silverstein,Actor
corporation,Actor
birds,Victim
turkey,Actor
variants,Effect
archaeologists,Actor
stones,Effect
therefore,Evidence
raise,Effect
j,Actor
ovl,Action
philosophical,Effect
cern,Actor
stephen,Actor
visit,Action
pornography,Effect
hair,Effect
drastically,Effect
sec,Actor
recommend,Action
protein,Action
donations,Action
countering,Actor
tactics,Evidence
tariffs,Effect
mccabe,Actor
establish,Effect
sufficient,Effect
myocarditis,Effect
pericarditis,Effect
coulthart,Actor
ann,Actor
compromised,Action
units,Victim
precise,Effect
founders,Actor
mcdonald,Actor
contractor,Actor
camps,Effect
outcomes,Effect
country's,Effect
funnel,Action
texture,Effect
bombs,Action
guru,Actor
progressives,Victim
rigging,Evidence
thinkers,Victim
altitude,Evidence
hiding,Effect
nra,Actor
replaced,Effect
nefarious,Evidence
infected,Effect
normalize,Action
luther,Evidence
drones,Actor
hacking,Actor
postmodernism,Victim
commanders,Actor
images,Evidence
deliberate,Action
shady,Effect
patriotism,Action
cures,Effect
mcconnell,Actor
mainland,Effect
essential,Action
mma,Actor
corp,Actor
arsenal,Action
preparing,Action
profound,Action
inclusion,Effect
ads,Evidence
cats,Effect
nukes,Action
enslavement,Action
abduction,Action
sperm,Effect
wastewater,Evidence
saber,Action
rattling,Action
batteries,Effect
dismiss,Evidence
comcast,Actor
dragged,Action
cha,Effect
haddad,Actor
newsweek,Actor
virginia,Actor
functions,Effect
liberalism,Evidence
steiner,Actor
walls,Effect
informant,Evidence
dose,Effect
strieber,Victim
clowns,Actor
wildfire,Actor
participation,Action
wgcz,Actor
pacaud,Actor
necessities,Evidence
educational,Action
publish,Action
pollution,Actor
everalbum,Actor
retirement,Action
ammunition,Effect
lgbt,Actor
hooke,Actor
skyworks,Actor
libya,Actor
eff,Victim
lapd,Actor
rourke,Actor
granny,Actor
